"Authors","Title","Publication","Volume","Number","Pages","Year","Publisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Costa, Daniel Alencar; McIntosh, Shane; Shang, Weiyi; Kulesza, Uira; Coelho, Roberta; Hassan, Ahmed; ","A","Framework","for","Evaluating","the","Results","of","the","SZZ","Approach","for","Identifying","Bug-Introducing","Changes","IEEE","Transactions","on","Software","Engineering",,,,2016,"IEEE",,,,,,,,,,,,,,,
"Abu-Elnasr, Osama M; Abo-Elsoud, Mohammed A; Rashad, Magdy Z; Aly, Gamal M; ","Organizing","Software","Architecture","based","Measurement","Analysis","(OSAMA)","Model","International","Journal","of","Computer","Science","Issues","(IJCSI)",11,3,70,2014,"International","Journal","of","Computer","Science","Issues","(IJCSI)",,,,,,,,,,,,,
"Ell, Jordan; ","An","Exploration","of","Indirect","Conflicts",,,,,2014,"University","of","Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cunha, André Amarante dos Santos; ","An","empirical","investigation","of","source","code","metrics","and","findbugs","warnings",,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,
"Foucault, Matthieu; ","Organisation","des","développeurs","open-source","et","fiabilité","logicielle",,,,,2015,"Université","de","Bordeaux",,,,,,,,,,,,,,,,,,,,,,,,
"Lorenz, Knut; ","Identifizierung","von","Refactorings","in","historischen","Prozessdaten",,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schermann, Gerald; Brandtner, Martin; Panichella, Sebastiano; Leitner, Philipp; Gall, Harald; ","Discovering","loners","and","phantoms","in","commit","and","issue","data","Proceedings","of","the",2015,"IEEE","23rd","International","Conference","on","Program","Comprehension",,,"4-14",2015,"IEEE","Press",,,,,,,,,,,,,
"Shippey, Thomas Joshua; ","Exploiting","Abstract","Syntax","Trees","to","Locate","Software","Defects",,,,,2015,"University","of","Hertfordshire",,,,,,,,,,,,,,,,,,,,,,,
"Ohira, Masao; Koyama, Kiwako; Ihara, Akinori; Matsumoto, Shinsuke; Kamei, Yasutaka; Matsumoto, Ken-ichi; ","A","Time-Lag","Analysis","toward","Improving","the","Efficiency","of","Communications","among","OSS","Developers","Supporting","Knowledge","Collaboration","in","Software","Development",,,49,2009,"Citeseer",,,,,,,,,,,,,,,,
"Mani, Senthil; ","Improving","enterprise","software","maintenance","efficiency","through","mining","software","repositories","in","an","industry","context","Companion","Proceedings","of","the","36th","International","Conference","on","Software","Engineering",,,"706-709",2014,"ACM",,,,,,,,,,,
"DE REGRAS, DE ASSOCIAÇÃO DE MÉTRICAS; ","DANIEL","DRUMOND","CASTELLANI","RIBEIRO",,,,,2012,"Universidade","Federal","Fluminense",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taipale, Taneli; ","IMPROVING","SOFTWARE","QUALITY","WITH","SOFTWARE","ERROR","PREDICTION",,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li, Daoyuan; Li, Li; Kim, Dongsun; Bissyandé, Tegawendé F; Lo, David; Traon, Yves Le; ","Watch","out","for","This","Commit!","A","Study","of","Influential","Software","Changes","arXiv","preprint","arXiv:1606.03266",,,,2016,,,,,,,,,,,,,,,,,,,,,
"Benson, Markland J; ","Toward","Intelligent","Software","Defect","Detection",,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mohammadnazar, Hojat; ","Improving","fault","prevention","with","proactive","root","cause","analysis","(PRORCA","method)",,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Steven; Welch, Zach; ","Bad","Commit","Smells",,,,,2013,"Citeseer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chanchal, Muhammad Asaduzzaman Michael C Bullock; Schneider, K Roy Kevin A; ","Bug","Introducing","Changes:","A","Study","with","Android",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jongyindee, Anakorn; Ohira, Masao; Ihara, Akinori; Matsumoto, Ken-ichi; ","Good","or","Bad","Committers?––A","Case","Study","of","Committer's","Activities","on","the","Eclipse's","Bug","Fixing","Process","IEICE","TRANSACTIONS","on","Information","and","Systems",95,9,"2202-2210",2012,"The Institute of Electronics, Information and Communication Engineers",,,,,,,,,,,,,
"Wen, Ming; Wu, Rongxin; Cheung, Shing-Chi; ","Locus:","locating","bugs","from","software","changes","Proceedings","of","the","31st","IEEE/ACM","International","Conference","on","Automated","Software","Engineering",,,"262-273",2016,"ACM",,,,,,,,,,,,,,,,,
"Gousios, Georgios I; ","TOOLS","AND","METHODS","FOR","LARGE","SCALE","EMPIRICAL","SOFTWARE","ENGINEERING","RESEARCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saha, Ripon Kumar; ","Effective","bug","detection","and","localization","using","information","retrieval",,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xia, Xin; Lo, David; Wang, Xinyu; Yang, Xiaohu; ","Collective","Personalized","Change","Classification","With","Multiobjective","Search","IEEE","Transactions","on","Reliability",,,,,"IEEE",,,,,,,,,,,,,,,,,,,,,,,
"Ribeiro, Daniel DC; Plastino, Alexandre; Murta, Leonardo; ","Ostra:","uma","abordagem","para","análise","da","qualidade","de","software","por","meio","de","regras","de","associação","de","métricas",,,,,,,,,,,,,,,,,,,,,,
"Cook, Devin; Choe, Yung Ryn; Hamilton Jr, John A; ","Finding","bugs","in","source","code","using","commonly","available","development","metadata","8th","Workshop","on","Cyber","Security","Experimentation","and","Test","(CSET","15)",,,,2015,,,,,,,,,,,,,,,
"Yang, Haoyu; Wang, Chen; Shi, Qingkai; Feng, Yang; Chen, Zhenyu; ","Bug","Inducing","Analysis","to","Prevent","Fault","Prone","Bug","Fixes.","SEKE",,,"620-625",2014,,,,,,,,,,,,,,,,,,,,,,,,,
"Zimmermann, Thomas; ","Mining","Change","Histories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, David Philip Harry; ","Software","defect","prediction","using","static","code","metrics:","formulating","a","methodology",,,,,2013,"University","of","Hertfordshire",,,,,,,,,,,,,,,,,,,,,
"de Mendonca, Vinicius Rafael Lobo; Rodrigues, Cassio Leonardo; de MN Soares, Fabrízzio Alphonsus A; Vincenzi, Auri Marcelo Rizzo; ","Static","analysis","techniques","and","tools:","A","systematic","mapping","study",,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
"Ayewah, Nathaniel; ","Static","analysis","in","practice",,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Süßkraut, Martin; ","Automatic","hardening","against","dependability","and","security","software","bugs",,,,,2010,"Dresden, Techn. Univ., Diss., 2010",,,,,,,,,,,,,,,,,,,,,,,,,
"Ray, Baishakhi; Nagappan, Meiyappan; Bird, Christian; Nagappan, Nachiappan; Zimmermann, Thomas; ","The","uniqueness","of","changes:","characteristics","and","applications","Proceedings","of","the","12th","Working","Conference","on","Mining","Software","Repositories",,,"34-44",2015,"IEEE","Press",,,,,,,,,,,,,,,,
"Avgustinov, Pavel; Baars, Arthur I; Henriksen, Anders S; Lavender, Greg; Menzel, Galen; de Moor, Oege; Schäfer, Max; Tibble, Julian; ","Tracking","static","analysis","violations","over","time","to","capture","developer","characteristics","Proceedings","of","the","37th","International","Conference","on","Software","Engineering-Volume",1,,,"437-447",2015,"IEEE","Press",,,,,,,,,,,,,
"Saha, Ripon K; Khurshid, Sarfraz; Perry, Dewayne E; ","Understanding","the","triaging","and","fixing","processes","of","long","lived","bugs","Information","and","Software","Technology",65,,"114-128",2015,"Elsevier",,,,,,,,,,,,,,,,,,,,
"Ohira, Masao; Koyama, Kiwako; Ihara, Akinori; Matsumoto, Shinsuke; Kamei, Yasutaka; Matsumoto, Ken-ichi; ","A","time-lag","analysis","for","improving","communication","among","OSS","developers","JSAI","International","Symposium","on","Artificial","Intelligence",,,"135-146",2009,"Springer",,,,,,,,,,,,,,,,,,,
"Misirli, Ayse Tosun; Shihab, Emad; Kamei, Yasukata; ","Studying","high","impact","fix-inducing","changes","Empirical","Software","Engineering",21,2,"605-641",2016,"Springer",,,,,,,,,,,,,,,,,,,,,,,,,,
"Davies, Steven; Roper, Marc; Wood, Murray; ","Comparing","text‐based","and","dependence‐based","approaches","for","determining","the","origins","of","bugs","Journal","of","Software:","Evolution","and","Process",26,1,"107-139",2014,"Wiley","Online","Library",,,,,,,,,,,,,,,
"An, Le; Khomh, Foutse; ","An","empirical","study","of","crash-inducing","commits","in","mozilla","firefox","Proceedings","of","the","11th","International","Conference","on","Predictive","Models","and","Data","Analytics","in","Software","Engineering",,,5,2015,"ACM",,,,,,,,,,
"Mizuno, Osamu; Hata, Hideaki; ","Yet","Another","Metric","for","Predicting","Fault-Prone","Modules","International","Conference","on","Advanced","Software","Engineering","and","Its","Applications",,,"296-304",2009,"Springer",,,,,,,,,,,,,,,,,,
"Wendel, Heinrich; ","Using","provenance","to","trace","software","development","processes",,,,,2010,"Universität","Bonn",,,,,,,,,,,,,,,,,,,,,,,,,
"Nadi, Sarah; ","A","study","of","variability","spaces","in","open","source","software","Proceedings","of","the",2013,"International","Conference","on","Software","Engineering",,,"1353-1356",2013,"IEEE","Press",,,,,,,,,,,,,,,
"Benson, Markland J; ","Toward","Intelligent","Software","Defect","Detection-Learning","Software","Defects","by","Example","Software Engineering Workshop (SEW), 2011 34th IEEE",,,"138-142",2011,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Davies, Steven; Roper, Marc; Wood, Murray; ","A","preliminary","evaluation","of","text-based","and","dependency-based","techniques","for","determining","the","origins","of","bugs",2011,"18th","Working","Conference","on","Reverse","Engineering",,,"201-210",2011,"IEEE",,,,,,,,,,,,,
"Martinez, Matias; ","Extraction","and","analysis","of","knowledge","for","automatic","software","repair",,,,,2014,"Université","Lille",1,,,,,,,,,,,,,,,,,,,,,,
"De Swart, Jerry; ","Selecting","bug-prone","components","to","study","the","effectiveness","of","reengineering","and","unit","testing",,,,,2013,"TU Delft, Delft University of Technology",,,,,,,,,,,,,,,,,,,,,
"Marinescu, Paul Dan; ","Transparently","improving","regression","testing","using","symbolic","execution",,,,,2013,"Imperial","College","London",,,,,,,,,,,,,,,,,,,,,,,,
"Negara, Stanislav; ","Towards","a","change-oriented","programming","environment",,,,,2013,"University","of","Illinois","at","Urbana-Champaign",,,,,,,,,,,,,,,,,,,,,,,,
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; Rahman, Foyzur; Devanbu, Premkumar T; ","When","would","this","bug","get","reported?","Software Maintenance (ICSM), 2012 28th IEEE International Conference on",,,"420-429",2012,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altinger, Harald; Siegl, Sebastian; Dajsuren, Yanja; Wotawa, Franz; ","A","novel","industry","grade","dataset","for","fault","prediction","based","on","model-driven","developed","automotive","embedded","software","Proceedings","of","the","12th","Working","Conference","on","Mining","Software","Repositories",,,"494-497",2015,"IEEE","Press",,,,,,,,
"Choetkiertikul, Morakot; Dam, Hoa Khanh; Tran, Truyen; Ghose, Aditya; ","Characterization","and","prediction","of","issue-related","risks","in","software","projects","Proceedings","of","the","12th","Working","Conference","on","Mining","Software","Repositories",,,"280-291",2015,"IEEE","Press",,,,,,,,,,,,,,
"Canfora, Gerardo; Lucia, Andrea De; Penta, Massimiliano Di; Oliveto, Rocco; Panichella, Annibale; Panichella, Sebastiano; ","Defect","prediction","as","a","multiobjective","optimization","problem","Software Testing, Verification and Reliability",25,4,"426-459",2015,"Wiley","Online","Library",,,,,,,,,,,,,,,,,,,,,,,,
"Ahmed, Iftekhar; Mohan, Nitin; Jensen, Carlos; ","The","Impact","of","Automatic","Crash","Reports","on","Bug","Triaging","and","Development","in","Mozilla","Proceedings","of","The","International","Symposium","on","Open","Collaboration",,,1,2014,"ACM",,,,,,,,,,,,,
"Jung, Yungbum; Oh, Hakjoo; Yi, Kwangkeun; ","Identifying","static","analysis","techniques","for","finding","non-fix","hunks","in","fix","revisions","Proceedings","of","the","ACM","first","international","workshop","on","Data-intensive","software","management","and","mining",,,"13-18",2009,"ACM",,,,,,,,,,
"Wang, Zhe; ","Fix","Cache","Based","Regression","Test","Selection",,,,,2010,"Chalmers","University","of","Technology",,,,,,,,,,,,,,,,,,,,,,,,
"Nam, Jaechang; ","Survey","on","software","defect","prediction","Department of Compter Science and Engineerning, The Hong Kong University of Science and Technology, Tech. Rep",,,,2014,"Citeseer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, PD; Lane, Peter CR; Rainer, Austen; Scholz, Sven-Bodo; ","Building","Classifiers","to","Identify","Split","Files.",,,,,2009,"IbaI","(Institute","of","Computer","Vision","&","Applied","Computer","Sciences)",,,,,,,,,,,,,,,,,,,
"Zhang, Min; Baddoo, Nathan; Wernick, Paul; Hall, Tracy; ","Prioritising","refactoring","using","code","bad","smells","Software Testing, Verification and Validation Workshops (ICSTW), 2011 IEEE Fourth International Conference on",,,"458-464",2011,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanya, Adam; Premraj, Rahul; van Vliet, Hans; ","Resolving","unwanted","couplings","through","interactive","exploration","of","co-evolving","software","entities–An","experience","report","Information","and","Software","Technology",54,4,"347-359",2012,"Elsevier",,,,,,,,,,,,,,,,,,
"Alali, Abdulkareem; Bartman, Brian; Newman, Christian D; Maletic, Jonathan I; ","A","preliminary","investigation","of","using","age","and","distance","measures","in","the","detection","of","evolutionary","couplings","Mining Software Repositories (MSR), 2013 10th IEEE Working Conference on",,,"169-172",2013,"IEEE",,,,,,,,,,,,,,,,,,
"Prechelt, Lutz; Pepper, Alexander; ","Why","software","repositories","are","not","used","for","defect-insertion","circumstance","analysis","more","often:","A","case","study","Information","and","Software","Technology",56,10,"1377-1389",2014,"Elsevier",,,,,,,,,,,,,,,
"Bernardi, Mario Luca; Canfora, Gerardo; Di Lucca, Giuseppe A; Di Penta, Massimiliano; Distante, Damiano; ","Do","developers","introduce","bugs","when","they","do","not","communicate?","the","case","of","eclipse","and","mozilla","Software Maintenance and Reengineering (CSMR), 2012 16th European Conference on",,,"139-148",2012,"IEEE",,,,,,,,,,,,,,,,,,
"Tarvo, Alexander; Nagappan, Nachiappan; Zimmermann, Thomas; ","Predicting","risk","of","pre-release","code","changes","with","checkinmentor",2013,"IEEE","24th","International","Symposium","on","Software","Reliability","Engineering","(ISSRE)",,,"128-137",2013,"IEEE",,,,,,,,,,,,,,,,
"Eunjoo, LEE; Chisu, WU; ","A","Survey","on","Mining","Software","Repositories","IEICE","TRANSACTIONS","on","Information","and","Systems",95,5,"1384-1406",2012,"The Institute of Electronics, Information and Communication Engineers",,,,,,,,,,,,,,,,,,,,,,
"Mizuno, Osamu; Hata, Hideaki; ","Prediction","of","Fault-prone","Modules","Using","A","Text","Filtering","Based","Metric","International","Journal","of","Software","Engineering","and","Its","Applications",4,1,"43-52",2010,,,,,,,,,,,,,,,,,
"Ahsan, Syed Nadeem; Ferzund, Javed; Wotawa, Franz; ","A","Database","for","the","Analysis","of","Program","Change","Patterns","Networked Computing and Advanced Information Management, 2008. NCM'08. Fourth International Conference on",2,,"32-39",2008,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Ell, Jordan; ","Identifying","failure","inducing","developer","pairs","within","developer","networks","Proceedings","of","the",2013,"International","Conference","on","Software","Engineering",,,"1471-1473",2013,"IEEE","Press",,,,,,,,,,,,,,,,
"Jiang, Yujuan; Adams, Bram; ","Co-evolution","of","infrastructure","and","source","code:","an","empirical","study","Proceedings","of","the","12th","Working","Conference","on","Mining","Software","Repositories",,,"45-55",2015,"IEEE","Press",,,,,,,,,,,,,,
"Lo, David; Jiang, Lingxiao; Budi, Aditya; ","Active","refinement","of","clone","anomaly","reports",2012,"34th","International","Conference","on","Software","Engineering","(ICSE)",,,"397-407",2012,"IEEE",,,,,,,,,,,,,,,,,,,,
"Asaduzzaman, Muhammad; Bullock, Michael C; Roy, Chanchal K; Schneider, Kevin A; ","Bug","introducing","changes:","A","case","study","with","Android","Proceedings","of","the","9th","IEEE","Working","Conference","on","Mining","Software","Repositories",,,"116-119",2012,"IEEE","Press",,,,,,,,,,,,,,
"Hora, Andre; Anquetil, Nicolas; Ducasse, Stéphane; Allier, Simon; ","Domain","specific","warnings:","Are","they","any","better?","Software Maintenance (ICSM), 2012 28th IEEE International Conference on",,,"441-450",2012,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sinha, Vibha Singhal; Sinha, Saurabh; Rao, Swathi; ","BUGINNINGS:","identifying","the","origins","of","a","bug","Proceedings","of","the","3rd","India","software","engineering","conference",,,"3-12",2010,"ACM",,,,,,,,,,,,,,,,,,,
"Canfora, Gerardo; Ceccarelli, Michele; Cerulo, Luigi; Di Penta, Massimiliano; ","How","long","does","a","bug","survive?","an","empirical","study",2011,"18th","Working","Conference","on","Reverse","Engineering",,,"191-200",2011,"IEEE",,,,,,,,,,,,,,,,,,
"Aversano, Lerina; Cerulo, Luigi; Di Penta, Massimiliano; ","Relating","the","Evolution","of","Design","Patterns","and","Crosscutting","Concerns.","SCAM",,,"180-192",2007,,,,,,,,,,,,,,,,,,,,,,,,,
"Siy, Harvey; Chundi, Parvathi; Rosenkrantz, Daniel J; Subramaniam, Mahadevan; ","Discovering","dynamic","developer","relationships","from","software","version","histories","by","time","series","segmentation",2007,"IEEE","International","Conference","on","Software","Maintenance",,,"415-424",2007,"IEEE",,,,,,,,,,,,,,,
"Marinescu, Paul; Hosek, Petr; Cadar, Cristian; ","Covrig: A framework for the analysis of code, test, and coverage evolution in real software","Proceedings","of","the",2014,"International","Symposium","on","Software","Testing","and","Analysis",,,"93-104",2014,"ACM",,,,,,,,,,,,,,,,,,,,,,
"Rus, Vasile; Nan, Xiaofei; Shiva, Sajjan G; Chen, Yixin; ","Clustering","of","Defect","Reports","Using","Graph","Partitioning","Algorithms.","SEKE",,,"442-445",2009,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Shulong; Chen, Xiang; Liu, Wangshu; Chen, Jiaqiang; Gu, Qing; Chen, Daoxu; ","FECAR:","A","feature","selection","framework","for","software","defect","prediction","Computer Software and Applications Conference (COMPSAC), 2014 IEEE 38th Annual",,,"426-435",2014,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Böhme, Marcel; Roychoudhury, Abhik; ","Corebench:","Studying","complexity","of","regression","errors","Proceedings","of","the",2014,"International","Symposium","on","Software","Testing","and","Analysis",,,"105-115",2014,"ACM",,,,,,,,,,,,,,,,,
"Eyolfson, Jon; Tan, Lin; Lam, Patrick; ","Correlations","between","bugginess","and","time-based","commit","characteristics","Empirical","Software","Engineering",19,4,"1009-1039",2014,"Springer",,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Mijung; Sinha, Saurabh; Görg, Carsten; Shah, Hina; Harrold, Mary Jean; Nanda, Mangala Gowri; ","Automated","bug","neighborhood","analysis","for","identifying","incomplete","bug","fixes","2010 Third International Conference on Software Testing, Verification and Validation",,,"383-392",2010,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Kononenko, Oleksii; Baysal, Olga; Guerrouj, Latifa; Cao, Yaxin; Godfrey, Michael W; ","Investigating","code","review","quality:","Do","people","and","participation","matter?","Software Maintenance and Evolution (ICSME), 2015 IEEE International Conference on",,,"111-120",2015,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Siy, Harvey; Chundi, Parvathi; Rosenkrantz, Daniel J; Subramaniam, Mahadevan; ","A","segmentation‐based","approach","for","temporal","analysis","of","software","version","repositories","Journal","of","Software","Maintenance","and","Evolution:","Research","and","Practice",20,3,"199-222",2008,"Wiley","Online","Library",,,,,,,,,,,,,
"Tarvo, Alexander; Zimmermann, Thomas; Czerwonka, Jacek; ","An","integration","resolution","algorithm","for","mining","multiple","branches","in","version","control","systems","Software Maintenance (ICSM), 2011 27th IEEE International Conference on",,,"402-411",2011,"IEEE",,,,,,,,,,,,,,,,,,,,,
"Neuhaus, Stephan; Plattner, Bernhard; ","Software security economics: Theory, in practice","The","Economics","of","Information","Security","and","Privacy",,,"75-92",2013,"Springer",,,,,,,,,,,,,,,,,,,,,,,,,,
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; ","Automatic","recovery","of","root","causes","from","bug-fixing","changes",2013,"20th","Working","Conference","on","Reverse","Engineering","(WCRE)",,,"92-101",2013,"IEEE",,,,,,,,,,,,,,,,,,
"Ayewah, Nathaniel; Pugh, William; ","Learning","from","defect","removals",2009,"6th","IEEE","International","Working","Conference","on","Mining","Software","Repositories",,,"179-182",2009,"IEEE",,,,,,,,,,,,,,,,,,,,
"Meneely, Andrew; Srinivasan, Harshavardhan; Musa, Ayemi; Tejeda, Alberto Rodríguez; Mokary, Matthew; Spates, Brian; ","When","a","patch","goes","bad:","Exploring","the","properties","of","vulnerability-contributing","commits",2013,"ACM/IEEE","International","Symposium","on","Empirical","Software","Engineering","and","Measurement",,,"65-74",2013,"IEEE",,,,,,,,,,,,,
"Weissgerber, Peter; Pohl, Mathias; Burch, Michael; ","Visual","data","mining","in","software","archives","to","detect","how","developers","work","together","Fourth","International","Workshop","on","Mining","Software","Repositories","(MSR'07:","ICSE","Workshops","2007)",,,"9-9",2007,"IEEE",,,,,,,,,,,
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ","Bug","prediction","based","on","fine-grained","module","histories","Proceedings","of","the","34th","International","Conference","on","Software","Engineering",,,"200-210",2012,"IEEE","Press",,,,,,,,,,,,,,,,,
"German, Daniel M; Hassan, Ahmed E; Robles, Gregorio; ","Change","impact","graphs:","Determining","the","impact","of","prior","codechanges","Information","and","Software","Technology",51,10,"1394-1408",2009,"Elsevier",,,,,,,,,,,,,,,,,,,,,
"Jiang, Tian; Tan, Lin; Kim, Sunghun; ","Personalized","defect","prediction","Automated Software Engineering (ASE), 2013 IEEE/ACM 28th International Conference on",,,"279-289",2013,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman, Foyzur; Posnett, Daryl; Hindle, Abram; Barr, Earl; Devanbu, Premkumar; ","BugCache","for","inspections:","hit","or","miss?","Proceedings","of","the","19th","ACM","SIGSOFT","symposium","and","the","13th","European","conference","on","Foundations","of","software","engineering",,,"322-331",2011,"ACM",,,,,,,,,,,
"Bijlsma, Dennis; Ferreira, Miguel Alexandre; Luijten, Bart; Visser, Joost; ","Faster","issue","resolution","with","higher","technical","quality","of","software","Software","quality","journal",20,2,"265-285",2012,"Springer",,,,,,,,,,,,,,,,,,,,,,
"Nguyen, Anh Tuan; Nguyen, Tung Thanh; Nguyen, Hoan Anh; Nguyen, Tien N; ","Multi-layered","approach","for","recovering","links","between","bug","reports","and","fixes","Proceedings","of","the","ACM","SIGSOFT","20th","International","Symposium","on","the","Foundations","of","Software","Engineering",,,63,2012,"ACM",,,,,,,,,,
"Padioleau, Yoann; Tan, Lin; Zhou, Yuanyuan; ","Listening","to","programmers","Taxonomies","and","characteristics","of","comments","in","operating","system","code","Proceedings","of","the","31st","International","Conference","on","Software","Engineering",,,"331-341",2009,"IEEE","Computer","Society",,,,,,,,,,,
"Tian, Yuan; Lo, David; Sun, Chengnian; ","Drone:","Predicting","priority","of","reported","bugs","by","multi-factor","analysis",,,,,2013,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
"Luijten, Bart; Visser, Joost; ","Faster","defect","resolution","with","higher","technical","quality","of","software",,,,,2010,"Delft University of Technology, Software Engineering Research Group",,,,,,,,,,,,,,,,,,,,,,,,
"Bissyande, Tegawende F; Thung, Ferdian; Wang, Shaowei; Lo, David; Jiang, Lingxiao; Reveillere, Laurent; ","Empirical","evaluation","of","bug","linking","Software Maintenance and Reengineering (CSMR), 2013 17th European Conference on",,,"89-98",2013,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhattacharya, Pamela; Neamtiu, Iulian; ","Assessing","programming","language","impact","on","development","and","maintenance:","A","study","on","C","and","C++",2011,"33rd","International","Conference","on","Software","Engineering","(ICSE)",,,"171-180",2011,"IEEE",,,,,,,,,,,,
"Gray, David; Bowes, David; Davey, Neil; Sun, Y; Christianson, Bruce; ","Reflections","on","the","NASA","MDP","data","sets","IET","software",6,6,"549-558",2012,"IET",,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Chadd; Spacco, Jaime; ","Szz","revisited:","verifying","when","changes","induce","fixes","Proceedings","of","the",2008,"workshop","on","Defects","in","large","software","systems",,,"32-36",2008,"ACM",,,,,,,,,,,,,,,,
"Ihara, Akinori; Ohira, Masao; Matsumoto, Ken-ichi; ","An","analysis","method","for","improving","a","bug","modification","process","in","open","source","software","development","Proceedings","of","the","joint","international","and","annual","ERCIM","workshops","on","Principles","of","software","evolution","(IWPSE)","and","software","evolution","(Evol)","workshops",,,"135-144",2009,"ACM"
